resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
,,Labour,Prace ziemne,,,,,,0,PLN,,,252136,55719,Prace ziemne,ME,"MECHANIZOWANE PRACE ZIEMNE (Z UŻYCIEM KOPAREK, SPYCHACZY, BULDOŻERÓW, GRADEK, METOD HYDROMECHANICZNYCH ITD.)",OBRÓBKA GRUNTU ZA POMOCĄ KOPAREK W DEPOZYCIE
DXDXDX_DXDXKAKA,Gruz budowlany,Material,Tory tramwajowe,t,,,,,0,PLN,,3.845506761811024,1016,1016,Tory tramwajowe,TORI,UKŁADANIE TORÓW DLA TRAMWAJÓW I KOLEI NA PODKŁADACH DREWNIANYCH I BETONOWYCH,Układanie i demontaż przejazdów kolejowych z pokryciem z płyt gumowych
DXDXDX_DXDXKAME,MATERIAŁY (patrz załącznik),Material,Otwory wiertnicze,,,,,,0,PLN,,,175,175,Otwory wiertnicze,PU,WIERTENIA,WIERTŁO ROTOROWE
DXDXDX_DXDXKARI,Wokół kamienia,Material,Autostrady,m3,,,,,0,PLN,,,6,6,Autostrady,RILI,PRZYGOTOWANIE MATERIAŁÓW,Wytwarzanie kamieni
DXDXDX_DXVODXDX,Gruz budowlany i materiały zwrotne,Material,Ściany działowe,t,,,,,0,PLN,,4.647235352112676,71,71,Ściany działowe,SASA,ŚCIANY DZIELĄCE,Rozbiórka ścian ceglanych na pojedyncze cegły
DXME-KADX-KADX_KAKAME,"Dwukonsolowe dźwigi portowe do zastosowania w zakładach montażu torów, 10 t",Equipment,Koleje,Masz.-godz.,98.93999651217,7.815084915000001,190.06490810933997,98.93999651216998,398,PLN,1321.870670486879,13.360326633165828,398,199,Koleje,RIVO,PODBUDOWA TORÓW KOLEJOWYCH O SZEROKOŚCI TORU 1520 MM,UKŁADANIE I DEMONTAŻ TORÓW
DXME-KADX-KADX_KAKARI,Dźwigi do układania szyn o długości 25 m na drewnianych podkładach,Equipment,Koleje,Masz.-godz.,1711.5932914509006,1711.5932914509003,1711.5932914509003,1711.5932914509003,23,PLN,8947.912059306793,5.227826086956522,23,23,Koleje,RIVO,PODBUDOWA TORÓW KOLEJOWYCH O SZEROKOŚCI TORU 1520 MM,UKŁADANIE I DEMONTAŻ TORÓW
DXME-KADX-KADX_KAKATO,Dźwigi do układania odcinków torów o długości 25 m na podkładach żelbetowych,Equipment,Koleje,Masz.-godz.,2019.7088982770697,2019.7088982770701,2019.7088982770701,2019.7088982770701,113,PLN,8047.0207095779,3.9842477876106193,113,113,Koleje,RIVO,PODBUDOWA TORÓW KOLEJOWYCH O SZEROKOŚCI TORU 1520 MM,UKŁADANIE I DEMONTAŻ TORÓW
DXME-KADX-KADX_MEKAME,Taśmy transportowe do montażu członów z żelbetowymi podkładkami (wyposażenie warsztatowe),Equipment,Koleje,Masz.-godz.,554.6818997121601,37.638344502,1071.72545492232,554.6818997121601,6,PLN,8083.564218471878,14.573333333333332,6,3,Koleje,RIVO,PODBUDOWA TORÓW KOLEJOWYCH O SZEROKOŚCI TORU 1520 MM,UKŁADANIE I DEMONTAŻ TORÓW
DXME-KADX-KADX_MEKAPU,Stanowiska montażowe (wyposażenie warsztatowe),Equipment,Koleje,Masz.-godz.,95.6384484726,4.197897,187.07899994520002,95.63844847260002,56,PLN,10968.500402612572,114.68714285714285,56,28,Koleje,RIVO,PODBUDOWA TORÓW KOLEJOWYCH O SZEROKOŚCI TORU 1520 MM,UKŁADANIE I DEMONTAŻ TORÓW
DXME-KADX-KADX_MEKARI,Półautomatyczne taśmy transportowe do montażu torów z drewnianymi podkładami (wyposażenie warsztatowe),Equipment,Koleje,Masz.-godz.,275.98623252222006,24.407972457000003,527.5644925874401,275.98623252222006,12,PLN,5243.73841792218,19.000000000000004,12,6,Koleje,RIVO,PODBUDOWA TORÓW KOLEJOWYCH O SZEROKOŚCI TORU 1520 MM,UKŁADANIE I DEMONTAŻ TORÓW
DXME-KADX-KADX_MEKATO,Linia technologiczna do montażu członów z żelbetowymi podkładami (wyposażenie warsztatowe),Equipment,Koleje,Masz.-godz.,132.25790740074,10.493343201,254.02247160048003,132.25790740074,18,PLN,1766.9656428738863,13.360000000000001,18,9,Koleje,RIVO,PODBUDOWA TORÓW KOLEJOWYCH O SZEROKOŚCI TORU 1520 MM,UKŁADANIE I DEMONTAŻ TORÓW
DXME-KADX-KALI_KAMELI,"Maszyny do czyszczenia żwiru, wydajność 1000-1200 m3/h, nie samojezdne",Equipment,Koleje,Masz.-godz.,4206.89128817529,4206.89128817529,4206.89128817529,4206.89128817529,14,PLN,25583.90887680316,6.081428571428572,14,14,Koleje,RIVO,PODBUDOWA TORÓW KOLEJOWYCH O SZEROKOŚCI TORU 1520 MM,DOGŁĘBNE CZYSZCZENIE LUB WYMIANA ŻWIROWEGO ŁÓŻKA
